name,error,ourWeekSub,sbWeekSub,ourWeekPaid,sbWeekPaid,ourWeekOop,sbWeekOop,ourFnOop,sbFnOop,ourFnFees,sbFnFees,ourPct,sbShownPct,dWeekSub,dWeekPaid,dWeekOop,dFnOop,dFnFees,pass
gen-314,,74.57,74.88,70.84,71.14,885.16,884.87,1770.32,1769.73,1912,1912,7.8,8,-0.31,-0.3,0.29,0.59,0,false
gen-315,,473.77,473.64,450.08,449.96,646.92,647.05,1293.84,1294.09,2194,2194,63.73,64,0.13,0.12,-0.13,-0.25,0,false
gen-316,,120.35,120.31,114.33,114.29,176.68,176.72,353.35,353.43,582,582,48.88,49,0.04,0.04,-0.04,-0.08,0,false
gen-317,,690.86,690.88,656.32,656.34,135.68,135.67,271.36,271.33,1584,1584,87.23,87,-0.02,-0.02,0.01,0.03,0,false
gen-318,,135.23,135.13,128.46,128.37,203.54,203.64,407.08,407.27,664,664,40.73,41,0.1,0.09,-0.1,-0.19,0,false
gen-319,,134.13,134.28,127.42,127.57,302.58,302.44,605.16,604.87,860,860,38.99,39,-0.15,-0.15,0.14,0.29,0,false
gen-320,,909.93,910.25,864.44,864.74,133.57,133.27,267.13,266.53,1996,1996,85.69,95,-0.32,-0.3,0.3,0.6,0,false
gen-321,,362.52,362.53,344.4,344.4,661.61,661.6,1323.21,1323.21,2012,2012,90,90,-0.01,0,0.01,0,0,true
gen-322,,271.24,271.24,257.68,257.67,668.33,668.34,1336.65,1336.67,1852,1852,80.6,81,0,0.01,-0.01,-0.02,0,false
gen-323,,77.11,77.24,73.25,73.37,1343.75,1343.65,2687.5,2687.28,2834,2834,8,8,-0.13,-0.12,0.1,0.22,0,false
gen-324,,81.79,81.73,77.7,77.64,186.3,186.37,372.6,372.73,528,528,30.98,31,0.06,0.06,-0.07,-0.13,0,false
gen-325,,190.68,190.62,181.15,181.09,162.85,162.91,325.71,325.82,688,688,55.43,55,0.06,0.06,-0.06,-0.11,0,false
gen-326,,88.02,88,83.62,83.6,348.39,348.4,696.77,696.8,864,864,82.72,83,0.02,0.02,-0.01,-0.03,0,false
gen-327,,48.7,48.71,46.26,46.27,44.74,44.74,89.48,89.47,182,182,53.51,54,-0.01,-0.01,0,0.01,0,true
gen-328,,440.38,440.29,418.36,418.27,142.64,142.74,285.28,285.47,1122,1122,69.88,81,0.09,0.09,-0.1,-0.19,0,false
gen-329,,948.12,948.2,900.72,900.79,398.29,398.21,796.57,796.42,2598,2598,90,95,-0.08,-0.07,0.08,0.15,0,false
gen-330,,165.84,166,157.55,157.7,316.46,316.3,632.91,632.6,948,948,34.84,35,-0.16,-0.15,0.16,0.31,0,false
gen-331,,450.81,450.81,428.27,428.27,1055.73,1055.75,2111.46,2111.48,2968,2968,62.64,63,0,0,-0.02,-0.02,0,false
gen-332,,158.54,158.47,150.6,150.54,1449.4,1449.47,2898.79,2898.93,3200,3200,15.96,16,0.07,0.06,-0.07,-0.14,0,false
gen-333,,135.69,135.73,128.91,128.94,33.1,33.07,66.19,66.13,324,324,83.76,84,-0.04,-0.03,0.03,0.06,0,false
gen-334,,330.32,288.48,313.81,274.06,494.19,533.95,988.38,1067.89,1616,1616,39.53,40,41.84,39.75,-39.76,-79.51,0,false
gen-335,,43.24,43.24,41.08,41.08,138.93,138.92,277.85,277.84,360,360,81.27,81,0,0,0.01,0.01,0,true
gen-336,,649.07,649.08,616.62,616.63,278.38,278.38,556.76,556.75,1790,1790,80.58,81,-0.01,-0.01,0,0.01,0,true
gen-337,,52.2,52.18,49.59,49.57,362.41,362.44,724.82,724.87,824,824,18.66,19,0.02,0.02,-0.03,-0.05,0,false
gen-338,,84.67,84.55,80.44,80.32,1016.57,1016.69,2033.13,2033.37,2194,2194,12.02,12,0.12,0.12,-0.12,-0.24,0,false
gen-339,,30.7,30.6,29.16,29.07,782.84,782.93,1565.68,1565.86,1624,1624,4.62,5,0.1,0.09,-0.09,-0.18,0,false
gen-340,,67.5,67.44,64.11,64.07,299.89,299.93,599.77,599.86,728,728,20.79,21,0.06,0.04,-0.04,-0.09,0,false
gen-341,,484.82,357.48,460.58,339.61,241.42,203.4,482.84,406.79,1404,1086,65.86,66,127.34,120.97,38.02,76.05,318,false
gen-342,,768.89,769,730.44,730.55,661.56,661.45,1323.12,1322.9,2784,2784,72.79,73,-0.11,-0.11,0.11,0.22,0,false
gen-343,,27.48,27.51,26.11,26.13,105.89,105.88,211.78,211.75,264,264,20.82,21,-0.03,-0.02,0.01,0.03,0,false
gen-344,,24.52,24.48,23.29,23.26,504.71,504.75,1009.42,1009.49,1056,1056,13.45,13,0.04,0.03,-0.04,-0.07,0,false
gen-345,,187.52,187.6,178.14,178.22,131.86,131.78,263.72,263.56,620,620,66.59,67,-0.08,-0.08,0.08,0.16,0,false
gen-346,,324.83,324.9,308.58,308.65,204.42,204.35,408.84,408.69,1026,1026,71.28,71,-0.07,-0.07,0.07,0.15,0,false
gen-347,,950.95,951.11,903.41,903.55,406.6,406.46,813.19,812.91,2620,2620,81.17,81,-0.16,-0.14,0.14,0.28,0,false
gen-348,,177,177.13,168.15,168.27,77.86,77.74,155.71,155.47,492,492,71.95,72,-0.13,-0.12,0.12,0.24,0,false
gen-349,,90.79,90.64,86.25,86.11,359.76,359.89,719.51,719.79,892,892,30.63,31,0.15,0.14,-0.13,-0.28,0,false
gen-350,,921.02,880.38,874.97,836.36,978.04,1016.66,1956.07,2033.3,3706,3706,88.18,88,40.64,38.61,-38.62,-77.23,0,false
gen-351,,845.47,845.4,803.2,803.13,157.81,157.87,315.61,315.74,1922,1922,90,95,0.07,0.07,-0.06,-0.13,0,false
gen-352,,624.6,624.6,593.37,593.37,150.63,150.63,301.26,301.26,1488,1488,90,90,0,0,0,0,0,true
gen-353,,310.71,310.68,295.18,295.15,314.82,314.86,629.64,629.71,1220,1220,77.82,78,0.03,0.03,-0.04,-0.07,0,false
gen-354,,114.75,114.71,109.01,108.97,44.99,45.04,89.98,90.07,308,308,75.54,76,0.04,0.04,-0.05,-0.09,0,false
